,house_name,lat_lon,school
284,Union Building&友聯樓,"22.3717785,114.1123047",0.1628
285,Yau Ming Building&友明大廈,"22.3657265,114.138382",0.0687
286,Yau Hing Building&友興大廈,"22.3316212,114.16165159999998",0.0803
287,Yau Wing Apartments&友榮大廈,"22.3152847,114.1687622",0.1889
288,Yau Wing Lau&友榮樓,"22.2178211,114.21297450000002",0.1114
289,Yalford Building&友福園,"22.2906151,114.2028732",0.0459
290,Union Mansion&友聯大廈,"22.2982101,114.1753082",0.1587
291,Yau Luen Apartments&友聯大樓,"22.3287735,114.1669922",0.0896
292,Hau Wo Court&厚威閣,"22.2829037,114.1273727",0.0568
293,Yau Loy Building&友來大廈,"22.3269634,114.1659012",0.0815
294,Hau Tak Building&厚德樓,"22.4425507,114.0296173",0.0416
295,Yau Kwong Building&友光大廈,"22.2790031,114.1808624",0.043
296,Yau Woo Building&友和大樓,"22.3209572,114.1709442",0.0902
297,La Grove&原築,"22.4373951,114.02491",0.4401
298,Parc Oasis&又一居,"22.333776500000006,114.1748123",0.1663
299,Village Gardens&又一村花園,"22.333583800000003,114.1754303",0.2333
300,Yau Yat Lau&又一樓,"22.3313179,114.1756134",0.135
301,Loyal Mansion&友誠大廈,"22.3151093,114.187294",0.0837
302,Eternal Building&合偉大廈,"22.291069,114.2037354",0.1039
303,Yau Shing Building&友誠大廈,"22.320722600000003,114.1700821",0.1258
304,Hopewell House&合和大廈,"22.316925,114.2263107",0.1637
305,Yau Shing Lau&友誠樓,"22.2182198,114.2126465",0.1001
306,Hop Shing Building&合成大廈,"22.3152924,114.1871643",0.0682
307,Friendship Court&友誼大廈,"22.2697411,114.1854095",0.0969
308,Friendship Mansion&友誼大廈,"22.278869600000004,114.1790695",0.1433
309,Yau Lung Building&友隆樓,"22.329464,114.1897049",0.0667
310,Ho Kwan Building&可群大廈,"22.3053627,114.1685028",0.1025
311,Hop Yick Centre&合益中心,"22.4416084,114.0310364",0.0999
312,Hope House&合益大廈,"22.4419785,114.03089140000002",0.1354
313,Kuk Fung Building&吉豐大廈,"22.283086800000003,114.1276093",0.0883
314,Hop Yick Plaza&合益廣場,"22.4431877,114.02919009999998",0.0419
315,Mutual House&合眾大廈,"22.3710022,114.11778259999998",0.1223
316,Hop Yee Building&合義樓,"22.3077888,114.1847839",0.1199
317,Kelley Court&吉利樓,"22.2836151,114.1292343",0.0251
318,Kut Hing House&吉慶樓,"22.376215,114.1777267",0.0668
319,Tung Shun Hing Building&同順興大廈,"22.3151455,114.1899643",0.1791
320,Ming Tak Building&名德大樓,"22.3669262,114.1353455",0.2919
321,Malibu Garden&名仕花園,"22.2675171,114.1856918",0.042
322,Ming Yin Building&名賢大樓,"22.3672485,114.1353683",0.3005
323,Mings Court&名仕閣,"22.268219,114.18469240000002",0.0355
324,Napa Valley&名賢居,"22.4113064,113.9802933",0.1379
325,Festival City&名城,"22.3701744,114.1759338",0.0935
326,Ming Tong Building&名堂大樓,"22.3671188,114.1353683",0.2957
327,Hill Paramount&名家匯,"22.3614426,114.1756668",0.1895
328,The Brand&名御,"22.4368382,114.0297318",0.4808
329,Co-Tack Building&同德大廈,"22.3131332,114.1871033",0.2465
330,Harmony Garden&同興花園,"22.3191319,114.1891556",0.1095
331,Tung Lok Building&同樂樓,"22.4476719,114.1686249",0.073
332,Tung Fung House&同豐樓,"22.3300552,114.1917496",0.1589
333,Tung Fat Building&同發大廈,"22.446174600000006,114.0222473",0.0757
334,Tung Tat Building&同達大廈,"22.2867718,114.1371765",0.1338
335,Tung Yik Building&同益大廈,"22.4440632,114.0288696",0.0739
336,Tung Fook Mansion&同福樓,"22.3108158,114.1691818",0.0509
337,Tung Hing Mansion&同興樓,"22.2832146,114.129837",0.0945
338,New Haven&名逸居,"22.3685722,114.1199875",0.0815
339,Conduit Tower&君德閣,"22.279035600000004,114.1508789",0.2644
340,The Masterpiece&名鑄,"22.29776,114.1739044",0.1685
341,Grand Villa&君悅華庭,"22.2857552,114.1910095",0.0664
342,The Legend at Jardines Lookout&名門,"22.2752647,114.1950073",0.0924
343,Grand Garden&君悅軒,"22.2799702,114.2247543",0.1744
344,Southward Mansion&向南樓,"22.28438,114.1921005",0.0118
345,The Grandiose&君傲灣,"22.3090267,114.2616196",0.1076
346,Sea Panorama Court&君凱豪庭,"22.3386402,114.1528854",0.079
347,Harbour Green&君匯港,"22.3177719,114.1602173",0.1582
348,The Zumurud&君柏,"22.3241787,114.1856308",0.0685
349,Woosung House&吳淞大樓,"22.305549600000006,114.1700821",0.1426
350,Chau Hop Shing Building&周合成大廈,"22.3718987,114.1183167",0.2156
351,Kennedy Park at Central&君珀,"22.2763519,114.1568222",0.1427
352,Chaus Building&周氏大廈,"22.372282,114.1168518",0.1711
353,Carmel on the Hill&君逸山,"22.3138027,114.1792755",0.1055
354,Queen's Park&君逸軒,"22.4474735,114.0960159",2.0012
355,Parc Palais&君頤峰,"22.3104229,114.176918",0.2016
356,Wallsend House&和善樓,"22.3197021,114.1869202",0.0313
357,Welsen Garden&和成花園,"22.4430485,114.0094376",0.6821
358,Luso Apartments&和域臺,"22.3422642,114.1769562",0.1009
359,Wo Ming Court&和明苑,"22.3157024,114.266861",0.0592
360,Wo On Building&和安樓,"22.281618100000006,114.1552429",0.1408
361,Wo Tai Building&和泰樓,"22.499136,114.1419144",0.1224
362,Provident Centre&和富中心,"22.29212,114.1953201",0.0411
363,Wharf Mansion&和富大樓,"22.2922745,114.1982956",0.1646
364,The Wharf&和富豪庭,"22.2917004,114.1962891",0.1175
365,Wo Fat Building&和發大廈,"22.2868252,114.1326752",0.2842
366,The Penland Court&品蘭臺,"22.326149,114.1841354",0.2862
367,Wo Yick Mansion&和益大廈,"22.2870426,114.143219",0.2353
368,Chit Wah Building&哲華樓,"22.4491138,114.1649628",0.1491
369,Wo Shing Building&和盛樓,"22.3719654,114.11734009999998",0.2019
370,Towning Mansion&唐寧大廈,"22.2819061,114.1852875",0.2661
371,Hutchison Estate&和記新村,"22.3681889,114.1348038",0.3997
372,Wo Fung House&和豐行,"22.3151016,114.1697235",0.1044
373,Wo Fung Court&和豐閣,"22.4981556,114.1422424",0.084
374,Kai Tai Court&啟泰苑,"22.3283024,114.2106934",0.1289
375,Karen Court&啟蔭閣,"22.2695122,114.1847839",0.1236
376,Kai Tin Towers&啟田大廈,"22.3085804,114.2340469",0.1435
377,Richland Garden&啟豐園,"22.3730621,113.9643326",0.0022
378,Kai Fat Building&啟發大廈,"22.2879429,114.1483078",0.1504
379,Kelford Mansion&啟發大廈,"22.2846222,114.1494064",0.078
380,Kailey Court&啟禮閣,"22.2857609,114.192749",0.0668
381,Kai Yee Court&啟義閣,"22.3080692,114.1691818",0.0603
382,Tong Ming Court&唐明苑,"22.3090611,114.25666809999998",0.064
383,Kai San Mansion&啟新大廈,"22.3350792,114.194725",0.1011
384,Tong Mei House&唐美大樓,"22.3250122,114.1645813",0.0689
385,Kai Ming Mansion&啟明大樓,"22.3137207,114.1880798",0.2368
386,Kenthill Mansion&啟協大廈,"22.291708,114.2000275",0.043
387,Kisland Villa&啟欣軒,"22.4344254,114.0120697",0.8255
388,Kai Tak House&啟德樓,"22.3164024,114.2265778",0.1713
389,Kai Tak Garden&啟德花園,"22.3379192,114.1943741",0.0737
390,Kai Chi Building&啟志樓,"22.3724766,114.1152039",0.0649
391,Kensington Mansion&啟成大廈,"22.2871456,114.140892",0.031
392,Kai Yin Mansion&啟賢大廈,"22.3186245,114.1716385",0.0984
393,Ka Fung Mansion&喜峰大廈,"22.3233719,114.166069",0.0861
394,Kai Wan Building&啟運大廈,"22.3218269,114.1702728",0.0981
